fwd_num_packets,bwd_num_packets,fwd_total_bytes,bwd_total_bytes,fwd_avg_pkt_length,bwd_avg_pkt_length,fwd_std_pkt_length,bwd_std_pkt_length,fwd_max_pkt_length,bwd_max_pkt_length,fwd_min_pkt_length,bwd_min_pkt_length,fwd_avg_inter_time,bwd_avg_inter_time,fwd_std_inter_time,bwd_std_inter_time,fwd_min_inter_time,bwd_min_inter_time,fwd_max_inter_time,bwd_max_inter_time,fwd_avg_offset,bwd_avg_offset,fwd_num_rst,bwd_num_rst,fwd_num_psh,bwd_num_psh,label,categorical_label
11,10,611,638,55.54545455,63.8,5.279462783,12.08120671,66,86,52,52,30.447606,33.826324,94.703862,99.821475,3.00E-06,3.50E-05,299.962655,300.000263,8.181818182,8.2,0,0,3,5,1,FTP
8,8,455,514,56.875,64.25,7.16015762,12.53281407,69,86,52,52,43.442903,43.43748,113.122645,113.140839,4.80E-05,4.90E-05,299.963687,300.000319,8.25,8.25,0,0,2,4,1,FTP
8,8,458,514,57.25,64.25,7.923743704,12.53281407,72,86,52,52,43.438286,43.432471,113.123469,113.143119,0.000208,0,299.960869,300.000397,8.25,8.25,0,0,2,4,1,FTP
8,8,455,514,56.875,64.25,7.16015762,12.53281407,69,86,52,52,43.437717,43.432319,113.12494,113.143106,4.00E-06,4.80E-05,299.963643,300.000235,8.25,8.25,0,0,2,4,1,FTP
8,8,455,514,56.875,64.25,7.16015762,12.53281407,69,86,52,52,43.437707,43.431894,113.123849,113.143467,3.00E-06,1.00E-06,299.96112,300.00062,8.25,8.25,0,0,2,4,1,FTP
8,8,457,514,57.125,64.25,7.661359447,12.53281407,71,86,52,52,43.436162,43.430855,113.1242,113.143813,4.00E-06,1.00E-06,299.96036,300.000361,8.25,8.25,0,0,2,4,1,FTP
8,8,458,514,57.25,64.25,7.923743704,12.53281407,72,86,52,52,43.435054,43.429756,113.124707,113.144293,3.00E-06,4.80E-05,299.960394,300.000342,8.25,8.25,0,0,2,4,1,FTP
8,8,454,514,56.75,64.25,6.923046398,12.53281407,68,86,52,52,43.434414,43.428622,113.125413,113.144811,0.00026,4.80E-05,299.961356,300.00037,8.25,8.25,0,0,2,4,1,FTP
8,8,454,514,56.75,64.25,6.923046398,12.53281407,68,86,52,52,43.429876,43.424108,113.127371,113.146806,0.000245,1.00E-06,299.961482,300.000603,8.25,8.25,0,0,2,4,1,FTP
8,8,454,514,56.75,64.25,6.923046398,12.53281407,68,86,52,52,43.431432,43.425627,113.126559,113.146035,3.00E-06,0.000192,299.96108,300.000261,8.25,8.25,0,0,2,4,1,FTP
8,8,454,514,56.75,64.25,6.923046398,12.53281407,68,86,52,52,43.430848,43.425404,113.127963,113.14615,0.0003,2.00E-06,299.963678,300.00027,8.25,8.25,0,0,2,4,1,FTP
11,17,689,1056,62.63636364,62.11764706,7.35217964,15.67594635,70,86,52,40,0.849951,0.531214,1.368418,1.120813,2.00E-06,3.00E-06,2.940563,2.896561,8.181818182,7.764705882,0,2,7,7,1,FTP
11,17,690,1056,62.72727273,62.11764706,7.497878488,15.67594635,72,86,52,40,0.849148,0.530717,1.36731,1.119378,2.00E-06,4.00E-06,2.938807,2.896331,8.181818182,7.764705882,0,2,7,7,1,FTP
11,17,690,1056,62.72727273,62.11764706,7.497878488,15.67594635,72,86,52,40,0.850691,0.53168,1.369121,1.121809,3.00E-06,3.00E-06,2.952295,2.910413,8.181818182,7.764705882,0,2,7,7,1,FTP
11,17,691,1056,62.81818182,62.11764706,7.560663752,15.67594635,71,86,52,40,1.027577,0.642231,1.55394,1.28756,0.000226,3.00E-06,3.441588,3.399076,8.181818182,7.764705882,0,2,7,7,1,FTP
11,17,692,1056,62.90909091,62.11764706,7.674041249,15.67594635,72,86,52,40,1.026453,0.64153,1.553516,1.286935,3.00E-06,3.00E-06,3.441705,3.399071,8.181818182,7.764705882,0,2,7,7,1,FTP
11,17,689,1056,62.63636364,62.11764706,7.379332318,15.67594635,71,86,52,40,1.025381,0.640864,1.556824,1.289279,3.00E-06,3.00E-06,3.441281,3.399178,8.181818182,7.764705882,0,2,7,7,1,FTP
