fwd_num_packets,bwd_num_packets,fwd_total_bytes,bwd_total_bytes,fwd_avg_pkt_length,bwd_avg_pkt_length,fwd_std_pkt_length,bwd_std_pkt_length,fwd_max_pkt_length,bwd_max_pkt_length,fwd_min_pkt_length,bwd_min_pkt_length,fwd_avg_inter_time,bwd_avg_inter_time,fwd_std_inter_time,bwd_std_inter_time,fwd_min_inter_time,bwd_min_inter_time,fwd_max_inter_time,bwd_max_inter_time,fwd_avg_offset,bwd_avg_offset,fwd_num_rst,bwd_num_rst,fwd_num_psh,bwd_num_psh,label,categorical_label
23,34,3220,4529,140,133.2058824,135.893006,214.2691283,692,1028,52,52,0.617886,0.411922,0.887811,0.757506,0.000373,3.00E-06,2.204181,2.160661,8.173913043,8.117647059,0,0,16,15,1,SSH
23,34,3220,4529,140,133.2058824,135.893006,214.2691283,692,1028,52,52,0.619383,0.41292,0.890553,0.756834,0.000215,4.00E-06,2.232953,2.172571,8.173913043,8.117647059,0,0,16,15,1,SSH
23,33,3212,4469,139.6521739,135.4242424,136.1171316,217.1944737,692,1028,52,52,0.618672,0.425334,0.921931,0.794122,0.000462,3.00E-06,2.201615,2.158516,8.086956522,8.060606061,0,0,16,15,1,SSH
23,34,3212,4521,139.6521739,132.9705882,136.1171316,214.3563283,692,1028,52,52,0.618652,0.412433,0.906421,0.770349,0.000544,4.00E-06,2.216918,2.172423,8.086956522,8.058823529,0,0,16,15,1,SSH
23,34,3212,4521,139.6521739,132.9705882,136.1171316,214.3563283,692,1028,52,52,0.620585,0.413725,0.909139,0.774125,0.000839,3.00E-06,2.232461,2.178689,8.086956522,8.058823529,0,0,16,15,1,SSH
23,34,3212,4521,139.6521739,132.9705882,136.1171316,214.3563283,692,1028,52,52,0.622162,0.414774,0.917271,0.780292,0.000498,3.00E-06,2.234051,2.172242,8.086956522,8.058823529,0,0,16,15,1,SSH
23,34,3212,4521,139.6521739,132.9705882,136.1171316,214.3563283,692,1028,52,52,0.618723,0.412484,0.912262,0.777181,0.000431,3.00E-06,2.204671,2.160345,8.086956522,8.058823529,0,0,16,15,1,SSH
23,34,3212,4521,139.6521739,132.9705882,136.1171316,214.3563283,692,1028,52,52,0.620658,0.413772,0.914782,0.779397,0.000393,4.00E-06,2.232712,2.179059,8.086956522,8.058823529,0,0,16,15,1,SSH
23,34,3212,4521,139.6521739,132.9705882,136.1171316,214.3563283,692,1028,52,52,0.6145,0.409668,0.911957,0.777676,0.000435,4.00E-06,2.201525,2.153912,8.086956522,8.058823529,0,0,16,15,1,SSH
22,32,3160,4417,143.6363636,138.03125,137.9408243,220.1445983,692,1028,52,52,0.643871,0.436172,0.927264,0.79647,0.000392,3.00E-06,2.201221,2.157224,8.090909091,8.0625,0,0,16,15,1,SSH
