fwd_num_packets,bwd_num_packets,fwd_total_bytes,bwd_total_bytes,fwd_avg_pkt_length,bwd_avg_pkt_length,fwd_std_pkt_length,bwd_std_pkt_length,fwd_max_pkt_length,bwd_max_pkt_length,fwd_min_pkt_length,bwd_min_pkt_length,fwd_avg_inter_time,bwd_avg_inter_time,fwd_std_inter_time,bwd_std_inter_time,fwd_min_inter_time,bwd_min_inter_time,fwd_max_inter_time,bwd_max_inter_time,fwd_avg_offset,bwd_avg_offset,fwd_num_rst,bwd_num_rst,fwd_num_psh,bwd_num_psh,label,categorical_label
98,76,9368,143236,95.59183673,1884.684211,119.2486648,2225.033071,540,11684,40,52,39.162029,21.909098,228.442662,86.835037,1.00E-06,1.00E-06,2136.461171,713.195088,7.928571429,8.315789474,21,0,12,13,1,hulk
108,78,12283,143333,113.7314815,1837.602564,124.8008212,2225.33505,604,10188,40,40,35.501813,49.320196,208.470879,246.623956,0,3.00E-06,2035.754203,2051.785851,7.935185185,8.320512821,19,1,23,12,1,hulk
93,77,9544,143277,102.6236559,1860.74026,127.4688294,2399.343048,450,10236,40,52,41.279279,21.62082,234.337274,86.290427,0,2.00E-06,2135.437171,713.191762,7.935483871,8.311688312,20,0,13,12,1,hulk
112,77,12707,143303,113.4553571,1861.077922,127.1967964,2328.740736,571,11684,40,40,34.213447,49.92962,204.489042,247.880111,0,9.00E-06,2032.810225,2048.84184,7.928571429,8.324675325,22,1,23,14,1,hulk
112,83,12595,143593,112.4553571,1730.036145,124.2625735,1964.503397,469,5844,40,40,34.213557,46.276379,204.488622,238.881635,0,2.00E-06,2032.810206,2048.841856,7.901785714,8.301204819,21,1,23,12,1,hulk
93,70,9527,134806,102.4408602,1925.8,126.8154652,2238.507866,590,8740,40,52,41.279371,23.814524,234.340319,90.331689,0,5.00E-06,2135.425187,713.206921,8.075268817,8.342857143,18,0,13,12,1,hulk
89,71,8768,142965,98.51685393,2013.591549,119.1433545,2324.313082,429,10199,40,52,43.144478,23.474316,239.397183,89.720917,0,1.10E-05,2134.437097,713.195475,7.97752809,8.338028169,18,0,12,12,1,hulk
110,80,13573,143437,123.3909091,1792.9625,139.7969757,2386.287538,486,10188,40,40,34.82532,48.049629,206.431191,243.37688,0,8.00E-06,2033.962235,2049.993995,7.818181818,8.3125,22,1,25,12,1,hulk
109,77,12158,143281,111.5412844,1860.792208,121.5415287,2721.125199,436,11647,40,40,35.147766,49.94631,207.366039,248.003324,0,4.00E-06,2033.962199,2049.993992,7.706422018,8.324675325,25,1,23,12,1,hulk
108,74,13765,135018,127.4537037,1824.567568,141.7261005,2451.177867,529,11636,40,40,35.478258,51.9607,208.026896,252.565877,0,3.00E-06,2030.890198,2046.922029,7.953703704,8.337837838,20,1,26,12,1,hulk
93,70,9757,142913,104.9139785,2041.614286,136.5184058,2789.482952,609,10199,40,52,41.252842,23.815394,234.099146,90.330295,0,5.00E-06,2132.925215,713.201563,7.924731183,8.342857143,20,0,13,12,1,hulk
93,76,11359,135118,122.1397849,1777.868421,159.8761471,2089.389789,615,7292,40,52,41.249837,21.913043,234.048038,86.830261,1.00E-06,1.00E-06,2132.433212,713.200526,7.989247312,8.315789474,18,0,16,12,1,hulk
98,73,9144,143069,93.30612245,1959.849315,112.7744221,2447.484813,431,8740,40,52,39.123963,23.049083,228.108356,88.774843,0,3.00E-06,2132.449177,714.202258,7.897959184,8.328767123,21,0,12,12,1,hulk
92,71,9844,134858,107,1899.408451,130.6665919,2220.415467,444,8740,40,52,41.692884,23.707683,235.258687,89.95254,0,3.00E-06,2131.473208,714.148159,8.02173913,8.338028169,19,0,14,12,1,hulk
105,75,12245,143177,116.6190476,1909.026667,127.2868793,2603.437364,433,11647,40,40,36.477239,51.264771,211.002361,249.215008,0,5.00E-06,2030.906247,2030.906184,7.923809524,8.333333333,19,1,23,12,1,hulk
108,82,12702,135434,117.6111111,1651.634146,130.3152062,1944.877263,540,7292,40,40,35.45458,46.79752,207.81085,238.196076,0,3.00E-06,2027.962461,2027.962407,7.740740741,8.304878049,24,1,24,12,1,hulk
110,78,12358,143333,112.3454545,1837.602564,122.4665793,2390.167159,466,8740,40,40,34.804592,49.255365,206.108478,244.340598,0,2.00E-06,2029.881421,2029.881474,7.890909091,8.320512821,19,1,23,12,1,hulk
104,75,10721,143173,103.0865385,1908.973333,124.1515759,2164.282479,538,7340,40,52,36.824992,22.425593,221.2971,87.611893,1.00E-06,9.00E-06,2130.437238,714.131694,7.788461538,8.32,24,0,16,12,1,hulk
101,75,12812,135070,126.8514851,1800.933333,136.9533049,2556.912694,465,10199,40,40,37.927059,51.252255,215.028319,249.101056,0,4.00E-06,2029.882422,2029.88247,7.900990099,8.333333333,19,1,25,12,1,hulk
97,71,9632,142965,99.29896907,2013.591549,120.5058924,2625.846735,469,10188,40,52,39.507344,23.717342,229.000237,89.963612,0,3.00E-06,2129.449201,714.145533,8.072164948,8.338028169,17,0,13,12,1,hulk
99,76,10919,143225,110.2929293,1884.539474,135.2989323,2551.699619,456,10236,40,52,38.701072,22.136185,226.704194,87.054268,0,1.00E-06,2129.449265,714.13726,7.878787879,8.315789474,20,0,16,12,1,hulk
101,73,12261,134966,121.3960396,1848.849315,134.7364152,2424.016568,611,7292,40,40,37.908851,52.650639,214.846355,252.224903,0,2.00E-06,2027.962418,2027.962512,7.98019802,8.342465753,17,1,23,12,1,hulk
106,82,10906,143548,102.8867925,1750.585366,125.2496418,2228.897419,467,11684,40,52,36.103659,20.496468,218.986181,83.930075,1.00E-06,2.00E-06,2127.629233,714.14893,7.70754717,8.292682927,26,0,16,13,1,hulk
97,73,9509,134962,98.03092784,1848.794521,118.1118338,2150.997488,435,8740,40,52,39.486535,23.058638,228.818662,88.764341,1.00E-06,2.00E-06,2127.44521,714.140201,8,8.328767123,18,0,13,12,1,hulk
91,68,10404,134702,114.3296703,1980.911765,135.1769256,2498.165164,447,10188,40,52,42.118883,24.779107,236.164945,91.81112,1.00E-06,4.40E-05,2127.461204,714.147779,8.098901099,8.352941176,16,0,16,12,1,hulk
112,77,13599,143281,121.4196429,1860.792208,130.6594941,2206.088425,561,8740,40,40,34.14165,49.864266,204.034503,245.566112,0,1.50E-05,2026.826224,2026.826273,8.0625,8.324675325,16,1,26,12,1,hulk
99,70,11806,134810,119.2525253,1925.857143,124.8673045,2626.830643,430,10199,40,40,38.670674,54.923006,216.867891,257.352423,0,5.00E-06,2026.826261,2026.826222,8.121212121,8.357142857,15,1,23,12,1,hulk
108,76,12314,143229,114.0185185,1884.592105,127.4309768,2236.206289,483,8740,40,40,35.418028,50.489165,207.658825,247.060321,0,4.00E-06,2025.986357,2025.9864,7.990740741,8.328947368,19,1,23,12,1,hulk
100,78,12067,135226,120.67,1733.666667,130.7469647,2040.991417,431,7292,40,40,38.269705,49.2034,215.717836,243.923356,0,2.00E-06,2025.986732,2025.986786,7.89,8.320512821,21,1,24,12,1,hulk
106,82,13190,135434,124.4339623,1651.634146,136.523085,2068.085346,489,8751,40,40,36.082815,46.773544,209.589934,237.985632,0,2.00E-06,2025.988848,2025.988898,7.839622642,8.304878049,22,1,26,12,1,hulk
96,70,10947,142913,114.03125,2041.614286,141.6786916,2528.534262,670,10188,40,52,39.881037,24.061013,229.797248,90.544341,0,3.00E-06,2125.449499,714.116548,8.0625,8.342857143,17,0,16,12,1,hulk
97,76,10677,143225,110.0721649,1884.539474,131.1613389,2428.840351,466,11684,40,52,39.455328,22.136134,228.522142,87.044813,0,1.00E-06,2124.461432,714.120655,8.082474227,8.315789474,17,0,16,12,1,hulk
94,81,9492,143507,100.9787234,1771.691358,126.1706456,1971.70646,478,7303,40,52,40.72808,20.752624,232.110078,84.432632,0,3.00E-06,2124.461508,714.116384,7.79787234,8.296296296,22,0,13,14,1,hulk
105,76,14250,135122,135.7142857,1777.921053,144.9137485,2076.639194,524,8740,40,40,36.410936,50.48931,210.573021,247.051128,0,2.00E-06,2025.988795,2025.988891,7.876190476,8.328947368,19,1,29,12,1,hulk
107,74,12854,143136,120.1308411,1934.27027,129.8785415,2465.065857,473,11636,40,40,35.723965,51.831493,208.617083,250.318754,0,2.00E-06,2025.988934,2025.988986,8.112149533,8.337837838,15,1,25,13,1,hulk
96,70,10406,142924,108.3958333,2041.771429,128.0273391,2725.093995,526,11647,40,52,39.851481,24.061015,229.511222,90.50552,1.00E-06,4.00E-06,2122.64134,714.122458,7.989583333,8.342857143,20,0,16,13,1,hulk
107,77,12520,143281,117.0093458,1860.792208,130.0220225,2269.391719,486,10236,40,40,35.71429,49.81152,208.62262,245.472912,1.00E-06,1.50E-05,2025.984457,2025.984597,7.878504673,8.324675325,20,1,24,12,1,hulk
112,73,13244,143073,118.25,1959.90411,128.3980649,2412.708236,539,11647,40,40,34.105538,52.578827,203.961209,251.99952,0,1.50E-05,2025.987525,2025.987679,7.964285714,8.342465753,18,1,26,12,1,hulk
103,77,12484,143281,121.2038835,1860.792208,129.8350658,2408.648241,452,10188,40,40,37.114918,49.772094,212.584738,245.471401,0,7.00E-06,2025.988674,2025.988807,7.970873786,8.324675325,18,1,25,12,1,hulk
121,79,15678,143396,129.5702479,1815.139241,141.0380461,2481.866671,453,11647,40,40,31.54778,48.49604,196.284274,242.372573,0,3.00E-06,2025.988818,2025.988829,7.801652893,8.316455696,23,1,31,13,1,hulk
110,77,13642,143292,124.0181818,1860.935065,135.6714854,2617.837739,532,11647,40,40,34.713253,49.785598,205.773386,245.454434,0,1.00E-06,2025.989072,2025.989199,7.827272727,8.324675325,22,1,27,13,1,hulk
111,79,15061,135278,135.6846847,1712.379747,148.9493497,2444.321647,512,11647,40,40,34.397741,48.470656,204.858534,242.385002,0,7.00E-06,2025.989265,2025.989319,7.783783784,8.316455696,24,1,30,12,1,hulk
97,74,9731,135025,100.3195876,1824.662162,126.0375726,2543.210345,552,10188,40,52,39.413724,22.742928,228.145846,88.186007,1.00E-06,4.50E-05,2120.441554,714.122261,7.567010309,8.324324324,28,0,14,13,1,hulk
100,76,9949,143225,99.49,1884.539474,120.5106555,2284.803539,448,10188,40,52,38.211264,22.138906,224.634938,87.171174,0,3.00E-06,2119.457474,715.119132,7.84,8.315789474,21,0,14,12,1,hulk
100,71,10686,134869,106.86,1899.56338,128.6884124,2616.089053,465,10188,40,52,38.209487,23.717536,224.632599,90.049198,0,2.00E-06,2119.473516,715.121168,7.84,8.338028169,23,0,16,13,1,hulk
106,74,12283,143121,115.8773585,1934.067568,139.75991,2556.474174,528,11647,40,52,36.026068,22.742875,218.234413,88.268147,0,1.50E-05,2119.465301,715.107542,7.877358491,8.324324324,21,0,19,12,1,hulk
106,71,12980,134869,122.4528302,1899.56338,142.4275343,2691.311246,431,11647,40,52,36.026064,23.71757,218.221996,90.004538,0,3.00E-06,2119.465348,715.080437,8.037735849,8.338028169,18,0,21,13,1,hulk
110,72,12815,134914,116.5,1873.805556,130.1826346,2395.321735,592,10199,40,40,34.685846,53.24955,205.780922,253.755859,0,2.00E-06,2026.003891,2026.00392,8.072727273,8.347222222,17,1,24,12,1,hulk
107,76,12379,135122,115.6915888,1777.921053,126.8501873,2424.627563,508,10199,40,40,35.667473,50.369486,208.609359,247.093907,1.00E-06,2.00E-06,2026.004247,2026.004361,7.943925234,8.328947368,21,1,24,12,1,hulk
108,73,12728,134977,117.8518519,1849,127.4691691,2530.769503,446,11647,40,40,35.328302,52.487395,207.689819,252.036151,0,5.00E-06,2026.004839,2026.004899,7.944444444,8.342465753,20,1,25,13,1,hulk
101,80,12246,143437,121.2475248,1792.9625,133.0291251,2052.847362,528,8740,40,40,37.794693,47.840897,214.693662,240.929809,0,1.00E-05,2026.005099,2026.005183,7.96039604,8.3125,19,1,24,12,1,hulk
101,82,12540,143541,124.1584158,1750.5,133.8590851,1914.290232,466,5844,40,40,37.801279,46.630697,214.68702,238.012897,0,1.20E-05,2026.00534,2026.005423,7.97029703,8.304878049,18,1,25,12,1,hulk
99,83,11097,143600,112.0909091,1730.120482,131.6736915,2138.603804,421,8740,40,52,38.572073,20.262999,225.390298,83.494836,1.00E-06,2.00E-06,2115.457214,715.0784,7.727272727,8.289156627,23,0,18,13,1,hulk
109,81,12731,143489,116.7981651,1771.469136,129.2915726,2233.288461,595,10188,40,40,34.989863,47.235829,206.748593,239.456211,0,1.40E-05,2026.00536,2026.005467,7.770642202,8.308641975,23,1,25,12,1,hulk
107,83,12294,135486,114.8971963,1632.361446,126.8185403,2152.648106,446,8740,40,40,35.650305,46.047437,208.647172,236.594117,0,0,2026.005126,2026.005244,7.719626168,8.301204819,26,1,24,12,1,hulk
100,77,10239,143277,102.39,1860.74026,121.1619581,2128.784805,465,8740,40,52,38.171618,21.861605,224.192459,86.61744,0,1.00E-05,2114.465362,715.075369,8.03,8.311688312,17,0,15,12,1,hulk
101,70,10341,134806,102.3861386,1925.8,131.1912322,2794.676412,664,11647,40,52,37.790822,24.08055,223.087376,90.782824,0,2.00E-06,2114.481387,716.075856,7.831683168,8.342857143,23,0,14,12,1,hulk
