fwd_num_packets,bwd_num_packets,fwd_total_bytes,bwd_total_bytes,fwd_avg_pkt_length,bwd_avg_pkt_length,fwd_std_pkt_length,bwd_std_pkt_length,fwd_max_pkt_length,bwd_max_pkt_length,fwd_min_pkt_length,bwd_min_pkt_length,fwd_avg_inter_time,bwd_avg_inter_time,fwd_std_inter_time,bwd_std_inter_time,fwd_min_inter_time,bwd_min_inter_time,fwd_max_inter_time,bwd_max_inter_time,fwd_avg_offset,bwd_avg_offset,fwd_num_rst,bwd_num_rst,fwd_num_psh,bwd_num_psh,label,categorical_label
98,76,9368,143236,95.59183673,1884.684211,119.2486648,2225.033071,540,11684,40,52,39.162029,21.909098,228.442662,86.835037,1.00E-06,1.00E-06,2136.461171,713.195088,7.928571429,8.315789474,21,0,12,13,1,slowloris
108,78,12283,143333,113.7314815,1837.602564,124.8008212,2225.33505,604,10188,40,40,35.501813,49.320196,208.470879,246.623956,0,3.00E-06,2035.754203,2051.785851,7.935185185,8.320512821,19,1,23,12,1,slowloris
93,77,9544,143277,102.6236559,1860.74026,127.4688294,2399.343048,450,10236,40,52,41.279279,21.62082,234.337274,86.290427,0,2.00E-06,2135.437171,713.191762,7.935483871,8.311688312,20,0,13,12,1,slowloris
112,77,12707,143303,113.4553571,1861.077922,127.1967964,2328.740736,571,11684,40,40,34.213447,49.92962,204.489042,247.880111,0,9.00E-06,2032.810225,2048.84184,7.928571429,8.324675325,22,1,23,14,1,slowloris
112,83,12595,143593,112.4553571,1730.036145,124.2625735,1964.503397,469,5844,40,40,34.213557,46.276379,204.488622,238.881635,0,2.00E-06,2032.810206,2048.841856,7.901785714,8.301204819,21,1,23,12,1,slowloris
93,70,9527,134806,102.4408602,1925.8,126.8154652,2238.507866,590,8740,40,52,41.279371,23.814524,234.340319,90.331689,0,5.00E-06,2135.425187,713.206921,8.075268817,8.342857143,18,0,13,12,1,slowloris
89,71,8768,142965,98.51685393,2013.591549,119.1433545,2324.313082,429,10199,40,52,43.144478,23.474316,239.397183,89.720917,0,1.10E-05,2134.437097,713.195475,7.97752809,8.338028169,18,0,12,12,1,slowloris
110,80,13573,143437,123.3909091,1792.9625,139.7969757,2386.287538,486,10188,40,40,34.82532,48.049629,206.431191,243.37688,0,8.00E-06,2033.962235,2049.993995,7.818181818,8.3125,22,1,25,12,1,slowloris
109,77,12158,143281,111.5412844,1860.792208,121.5415287,2721.125199,436,11647,40,40,35.147766,49.94631,207.366039,248.003324,0,4.00E-06,2033.962199,2049.993992,7.706422018,8.324675325,25,1,23,12,1,slowloris
108,74,13765,135018,127.4537037,1824.567568,141.7261005,2451.177867,529,11636,40,40,35.478258,51.9607,208.026896,252.565877,0,3.00E-06,2030.890198,2046.922029,7.953703704,8.337837838,20,1,26,12,1,slowloris
93,70,9757,142913,104.9139785,2041.614286,136.5184058,2789.482952,609,10199,40,52,41.252842,23.815394,234.099146,90.330295,0,5.00E-06,2132.925215,713.201563,7.924731183,8.342857143,20,0,13,12,1,slowloris
93,76,11359,135118,122.1397849,1777.868421,159.8761471,2089.389789,615,7292,40,52,41.249837,21.913043,234.048038,86.830261,1.00E-06,1.00E-06,2132.433212,713.200526,7.989247312,8.315789474,18,0,16,12,1,slowloris
98,73,9144,143069,93.30612245,1959.849315,112.7744221,2447.484813,431,8740,40,52,39.123963,23.049083,228.108356,88.774843,0,3.00E-06,2132.449177,714.202258,7.897959184,8.328767123,21,0,12,12,1,slowloris
92,71,9844,134858,107,1899.408451,130.6665919,2220.415467,444,8740,40,52,41.692884,23.707683,235.258687,89.95254,0,3.00E-06,2131.473208,714.148159,8.02173913,8.338028169,19,0,14,12,1,slowloris
105,75,12245,143177,116.6190476,1909.026667,127.2868793,2603.437364,433,11647,40,40,36.477239,51.264771,211.002361,249.215008,0,5.00E-06,2030.906247,2030.906184,7.923809524,8.333333333,19,1,23,12,1,slowloris
108,82,12702,135434,117.6111111,1651.634146,130.3152062,1944.877263,540,7292,40,40,35.45458,46.79752,207.81085,238.196076,0,3.00E-06,2027.962461,2027.962407,7.740740741,8.304878049,24,1,24,12,1,slowloris
110,78,12358,143333,112.3454545,1837.602564,122.4665793,2390.167159,466,8740,40,40,34.804592,49.255365,206.108478,244.340598,0,2.00E-06,2029.881421,2029.881474,7.890909091,8.320512821,19,1,23,12,1,slowloris
104,75,10721,143173,103.0865385,1908.973333,124.1515759,2164.282479,538,7340,40,52,36.824992,22.425593,221.2971,87.611893,1.00E-06,9.00E-06,2130.437238,714.131694,7.788461538,8.32,24,0,16,12,1,slowloris
101,75,12812,135070,126.8514851,1800.933333,136.9533049,2556.912694,465,10199,40,40,37.927059,51.252255,215.028319,249.101056,0,4.00E-06,2029.882422,2029.88247,7.900990099,8.333333333,19,1,25,12,1,slowloris
97,71,9632,142965,99.29896907,2013.591549,120.5058924,2625.846735,469,10188,40,52,39.507344,23.717342,229.000237,89.963612,0,3.00E-06,2129.449201,714.145533,8.072164948,8.338028169,17,0,13,12,1,slowloris
99,76,10919,143225,110.2929293,1884.539474,135.2989323,2551.699619,456,10236,40,52,38.701072,22.136185,226.704194,87.054268,0,1.00E-06,2129.449265,714.13726,7.878787879,8.315789474,20,0,16,12,1,slowloris
101,73,12261,134966,121.3960396,1848.849315,134.7364152,2424.016568,611,7292,40,40,37.908851,52.650639,214.846355,252.224903,0,2.00E-06,2027.962418,2027.962512,7.98019802,8.342465753,17,1,23,12,1,slowloris
106,82,10906,143548,102.8867925,1750.585366,125.2496418,2228.897419,467,11684,40,52,36.103659,20.496468,218.986181,83.930075,1.00E-06,2.00E-06,2127.629233,714.14893,7.70754717,8.292682927,26,0,16,13,1,slowloris
97,73,9509,134962,98.03092784,1848.794521,118.1118338,2150.997488,435,8740,40,52,39.486535,23.058638,228.818662,88.764341,1.00E-06,2.00E-06,2127.44521,714.140201,8,8.328767123,18,0,13,12,1,slowloris
91,68,10404,134702,114.3296703,1980.911765,135.1769256,2498.165164,447,10188,40,52,42.118883,24.779107,236.164945,91.81112,1.00E-06,4.40E-05,2127.461204,714.147779,8.098901099,8.352941176,16,0,16,12,1,slowloris
112,77,13599,143281,121.4196429,1860.792208,130.6594941,2206.088425,561,8740,40,40,34.14165,49.864266,204.034503,245.566112,0,1.50E-05,2026.826224,2026.826273,8.0625,8.324675325,16,1,26,12,1,slowloris
