fwd_num_packets,bwd_num_packets,fwd_total_bytes,bwd_total_bytes,fwd_avg_pkt_length,bwd_avg_pkt_length,fwd_std_pkt_length,bwd_std_pkt_length,fwd_max_pkt_length,bwd_max_pkt_length,fwd_min_pkt_length,bwd_min_pkt_length,fwd_avg_inter_time,bwd_avg_inter_time,fwd_std_inter_time,bwd_std_inter_time,fwd_min_inter_time,bwd_min_inter_time,fwd_max_inter_time,bwd_max_inter_time,fwd_avg_offset,bwd_avg_offset,fwd_num_rst,bwd_num_rst,fwd_num_psh,bwd_num_psh,label,categorical_label,pair
11,17,704,1056,64.0,62.11764706,9.044335244,15.67594635,77,86,52,40,0.870081,0.543801,1.388669,1.138773,4.7e-05,4.5e-05,3.173563,3.131492,8.181818182,7.764705882,0,2,7,7,1,FTP,1098
11,17,699,1056,63.54545455,62.11764706,8.618162639,15.67594635,76,86,52,40,0.873875,0.546173,1.363254,1.121347,4.9e-05,1e-06,3.153188,3.109456,8.181818182,7.764705882,0,2,7,7,1,FTP,1098
11,17,691,1056,62.81818182,62.11764706,7.756522182,15.67594635,75,86,52,40,0.842867,0.526788,1.355157,1.109638,3e-06,3e-06,2.900311,2.857075,8.181818182,7.764705882,0,2,7,7,1,FTP,4312
85,62,8192,119291,96.37647059,1924.048387,116.5895299,2055.703114,423,7340,40,52,24.065079,30.97065,125.576172,146.157365,0.0,2e-06,1126.649369,1126.655638,7.964705882,8.322580645,16,0,11,10,1,hulk,4312
11,17,711,1056,64.63636364,62.11764706,10.0227015,15.67594635,82,86,52,40,0.90046,0.562789,1.457319,1.193887,4e-06,3e-06,3.359848,3.316709,8.181818182,7.764705882,0,2,7,7,1,FTP,167
11,17,699,1056,63.54545455,62.11764706,8.442317648,15.67594635,75,86,52,40,0.866251,0.541404,1.361285,1.118709,0.000213,0.0,3.06011,3.016822,8.181818182,7.764705882,0,2,7,7,1,FTP,167
11,17,697,1056,63.36363636,62.11764706,8.321931594,15.67594635,76,86,52,40,0.866772,0.541727,1.381622,1.13329,3e-06,4e-06,3.167394,3.124611,8.181818182,7.764705882,0,2,7,7,1,FTP,1069
11,17,706,1056,64.18181818,62.11764706,9.217572151,15.67594635,76,86,52,40,0.852062,0.532536,1.368384,1.121347,3e-06,3e-06,3.083786,3.040849,8.181818182,7.764705882,0,2,7,7,1,FTP,1069
11,17,694,1056,63.09090909,62.11764706,8.005679802,15.67594635,75,86,52,40,0.888405,0.555249,1.440465,1.180158,4.8e-05,3e-06,3.26501,3.22408,8.181818182,7.764705882,0,2,7,7,1,FTP,4342
110,86,11211,145736,101.9181818,1694.604651,124.1184793,2019.828241,572,7292,40,52,32.057706,39.964469,158.366983,178.487766,0.0,4e-06,1458.252311,1458.253004,7.890909091,8.302325581,22,0,18,13,1,hulk,4342
11,17,698,1056,63.45454545,62.11764706,8.311000377,15.67594635,74,86,52,40,0.835907,0.522436,1.346148,1.102175,3e-06,3e-06,2.978005,2.932354,8.181818182,7.764705882,0,2,7,7,1,FTP,2273
11,17,707,1056,64.27272727,62.11764706,9.508847555,15.67594635,80,86,52,40,1.033634,0.646018,1.660816,1.364653,3e-06,3e-06,3.670673,3.625393,8.181818182,7.764705882,0,2,7,7,1,FTP,2273
